ulasan,label,tokens,normalized,stem,token_finish
pertama ketempat ini bawa mobil dari surabaya ke sumenep parkir di pemukiman warga yg mengarah ke pantai sembilan  biaya parkir ribu terus nyebrang per orang sekitar rb kalo engga rb lupa dan jangan lupa bawa pancing lautnya bagus banget dan jangan lupa bawa sunblok soalnya panas banget  awas makelar bos hahahaa,1,"['pertama', 'ketempat', 'ini', 'bawa', 'mobil', 'dari', 'surabaya', 'ke', 'sumenep', 'parkir', 'di', 'pemukiman', 'warga', 'yg', 'mengarah', 'ke', 'pantai', 'sembilan', 'biaya', 'parkir', 'ribu', 'terus', 'nyebrang', 'per', 'orang', 'sekitar', 'rb', 'kalo', 'engga', 'rb', 'lupa', 'dan', 'jangan', 'lupa', 'bawa', 'pancing', 'lautnya', 'bagus', 'banget', 'dan', 'jangan', 'lupa', 'bawa', 'sunblok', 'soalnya', 'panas', 'banget', 'awas', 'makelar', 'bos', 'hahahaa']","['pertama', 'ketempat', 'bawa', 'mobil', 'dari', 'surabaya', 'sumenep', 'parkir', 'pemukiman', 'warga', 'yang', 'mengarah', 'pantai', 'sembilan', 'biaya', 'parkir', 'ribu', 'terus', 'nyebrang', 'orang', 'sekitar', 'ribu', 'kalo', 'enggak', 'ribu', 'lupa', 'jangan', 'lupa', 'bawa', 'pancing', 'lautnya', 'bagus', 'banget', 'jangan', 'lupa', 'bawa', 'sunblok', 'soalnya', 'panas', 'banget', 'awas', 'makelar', 'hahahaa']","['pertama', 'tempat', 'bawa', 'mobil', 'dari', 'surabaya', 'sumenep', 'parkir', 'mukim', 'warga', 'yang', 'arah', 'pantai', 'sembilan', 'biaya', 'parkir', 'ribu', 'terus', 'nyebrang', 'orang', 'sekitar', 'ribu', 'kalo', 'enggak', 'ribu', 'lupa', 'jangan', 'lupa', 'bawa', 'pancing', 'laut', 'bagus', 'banget', 'jangan', 'lupa', 'bawa', 'sunblok', 'soal', 'panas', 'banget', 'awas', 'makelar', 'hahahaa']","['bawa', 'mobil', 'surabaya', 'sumenep', 'parkir', 'mukim', 'warga', 'arah', 'pantai', 'sembilan', 'biaya', 'parkir', 'ribu', 'nyebrang', 'orang', 'ribu', 'ribu', 'lupa', 'lupa', 'bawa', 'pancing', 'laut', 'bagus', 'banget', 'lupa', 'bawa', 'sunblok', 'panas', 'banget', 'awas', 'makelar', 'hahahaa']"
pantai nya bagus air nya jernih dan bersih asri dan alami nyaman buat bersantai atau liburan bersama keluarga ataupun teman,1,"['pantai', 'nya', 'bagus', 'air', 'nya', 'jernih', 'dan', 'bersih', 'asri', 'dan', 'alami', 'nyaman', 'buat', 'bersantai', 'atau', 'liburan', 'bersama', 'keluarga', 'ataupun', 'teman']","['pantai', 'bagus', 'jernih', 'bersih', 'asri', 'alami', 'nyaman', 'buat', 'bersantai', 'atau', 'liburan', 'bersama', 'keluarga', 'ataupun', 'teman']","['pantai', 'bagus', 'jernih', 'bersih', 'asri', 'alami', 'nyaman', 'buat', 'santa', 'atau', 'libur', 'sama', 'keluarga', 'atau', 'teman']","['pantai', 'bagus', 'jernih', 'bersih', 'asri', 'alami', 'nyaman', 'santa', 'libur', 'keluarga', 'teman']"
pantai nya bagus kalo weekday sepi enak berasa pantai pribadi cuman akses nya belom bagus buat yang traveling individu harus nunggu perahu nya penuh baru berangkatjadi gada jam keberangkatan bisa nunggu lama di pelabuhan nya,1,"['pantai', 'nya', 'bagus', 'kalo', 'weekday', 'sepi', 'enak', 'berasa', 'pantai', 'pribadi', 'cuman', 'akses', 'nya', 'belom', 'bagus', 'buat', 'yang', 'traveling', 'individu', 'harus', 'nunggu', 'perahu', 'nya', 'penuh', 'baru', 'berangkatjadi', 'gada', 'jam', 'keberangkatan', 'bisa', 'nunggu', 'lama', 'di', 'pelabuhan', 'nya']","['pantai', 'bagus', 'kalo', 'weekday', 'sepi', 'enak', 'berasa', 'pantai', 'pribadi', 'cuman', 'akses', 'belum', 'bagus', 'buat', 'yang', 'traveling', 'individu', 'harus', 'menunggu', 'perahu', 'penuh', 'baru', 'berangkatjadi', 'enggak', 'ada', 'keberangkatan', 'bisa', 'menunggu', 'lama', 'pelabuhan']","['pantai', 'bagus', 'kalo', 'weekday', 'sepi', 'enak', 'asa', 'pantai', 'pribadi', 'cuman', 'akses', 'belum', 'bagus', 'buat', 'yang', 'traveling', 'individu', 'harus', 'tunggu', 'perahu', 'penuh', 'baru', 'berangkatjadi', 'enggak', 'ada', 'berangkat', 'bisa', 'tunggu', 'lama', 'labuh']","['pantai', 'bagus', 'weekday', 'sepi', 'enak', 'asa', 'pantai', 'pribadi', 'cuman', 'akses', 'bagus', 'traveling', 'individu', 'tunggu', 'perahu', 'penuh', 'berangkatjadi', 'berangkat', 'tunggu', 'labuh']"
pantai ini indah sekali terletak di pulau gili genting  tenang dan cukup bersihuntuk mencapainyaperlu menyeberang dengan kapal dari pelabuhan tanjung sumenep ,1,"['pantai', 'ini', 'indah', 'sekali', 'terletak', 'di', 'pulau', 'gili', 'genting', 'tenang', 'dan', 'cukup', 'bersihuntuk', 'mencapainyaperlu', 'menyeberang', 'dengan', 'kapal', 'dari', 'pelabuhan', 'tanjung', 'sumenep']","['pantai', 'indah', 'sekali', 'terletak', 'pulau', 'gili', 'genting', 'tenang', 'cukup', 'bersihuntuk', 'mencapainyaperlu', 'menyeberang', 'dengan', 'kapal', 'dari', 'pelabuhan', 'tanjung', 'sumenep']","['pantai', 'indah', 'sekali', 'letak', 'pulau', 'gili', 'genting', 'tenang', 'cukup', 'bersihuntuk', 'mencapainyaperlu', 'seberang', 'dengan', 'kapal', 'dari', 'labuh', 'tanjung', 'sumenep']","['pantai', 'indah', 'letak', 'pulau', 'gili', 'genting', 'tenang', 'bersihuntuk', 'mencapainyaperlu', 'seberang', 'kapal', 'labuh', 'tanjung', 'sumenep']"
pantainya bersih tenang cocok buat healing menghindari keramaian kota,1,"['pantainya', 'bersih', 'tenang', 'cocok', 'buat', 'healing', 'menghindari', 'keramaian', 'kota']","['pantainya', 'bersih', 'tenang', 'cocok', 'buat', 'healing', 'menghindari', 'keramaian', 'kota']","['pantai', 'bersih', 'tenang', 'cocok', 'buat', 'healing', 'hindar', 'ramai', 'kota']","['pantai', 'bersih', 'tenang', 'cocok', 'healing', 'hindar', 'ramai', 'kota']"
sumenep menjadi salahsatu kabupaten yg mempunyai tempat wisata yg luar biasa indah untuk dinikmati salah satunya gili genting  pantai sembilan kalo dr sumenepnya nyebrang  menit aja ohiya  perahunya cuman bisa angkut manusia,1,"['sumenep', 'menjadi', 'salahsatu', 'kabupaten', 'yg', 'mempunyai', 'tempat', 'wisata', 'yg', 'luar', 'biasa', 'indah', 'untuk', 'dinikmati', 'salah', 'satunya', 'gili', 'genting', 'pantai', 'sembilan', 'kalo', 'dr', 'sumenepnya', 'nyebrang', 'menit', 'aja', 'ohiya', 'perahunya', 'cuman', 'bisa', 'angkut', 'manusia']","['sumenep', 'menjadi', 'salahsatu', 'kabupaten', 'yang', 'mempunyai', 'tempat', 'wisata', 'yang', 'luar', 'biasa', 'indah', 'untuk', 'dinikmati', 'salah', 'satunya', 'gili', 'genting', 'pantai', 'sembilan', 'kalo', 'dari', 'sumenepnya', 'nyebrang', 'menit', 'saja', 'ohiya', 'perahunya', 'cuman', 'bisa', 'angkut', 'manusia']","['sumenep', 'jadi', 'salahsatu', 'kabupaten', 'yang', 'punya', 'tempat', 'wisata', 'yang', 'luar', 'biasa', 'indah', 'untuk', 'nikmat', 'salah', 'satu', 'gili', 'genting', 'pantai', 'sembilan', 'kalo', 'dari', 'sumenepnya', 'nyebrang', 'menit', 'saja', 'ohiya', 'perahu', 'cuman', 'bisa', 'angkut', 'manusia']","['sumenep', 'salahsatu', 'kabupaten', 'wisata', 'indah', 'nikmat', 'salah', 'gili', 'genting', 'pantai', 'sembilan', 'sumenepnya', 'nyebrang', 'menit', 'ohiya', 'perahu', 'cuman', 'angkut', 'manusia']"
bagus biaya masuk murah tersedia tempat penginapannya jg rb per malam,1,"['bagus', 'biaya', 'masuk', 'murah', 'tersedia', 'tempat', 'penginapannya', 'jg', 'rb', 'per', 'malam']","['bagus', 'biaya', 'masuk', 'murah', 'tersedia', 'tempat', 'penginapannya', 'juga', 'ribu', 'malam']","['bagus', 'biaya', 'masuk', 'murah', 'sedia', 'tempat', 'inap', 'juga', 'ribu', 'malam']","['bagus', 'biaya', 'masuk', 'murah', 'sedia', 'inap', 'ribu', 'malam']"
pantai yg sangat indah dan nyaman untuk di kunjungi bersama teman dan keluarga tercinta banyak sport untuk berfotofoto ria dan wahana permainan yg tentunya seru untuk dimainkan dan di sini juga banyak rumah kecil yg bisa di sewa,1,"['pantai', 'yg', 'sangat', 'indah', 'dan', 'nyaman', 'untuk', 'di', 'kunjungi', 'bersama', 'teman', 'dan', 'keluarga', 'tercinta', 'banyak', 'sport', 'untuk', 'berfotofoto', 'ria', 'dan', 'wahana', 'permainan', 'yg', 'tentunya', 'seru', 'untuk', 'dimainkan', 'dan', 'di', 'sini', 'juga', 'banyak', 'rumah', 'kecil', 'yg', 'bisa', 'di', 'sewa']","['pantai', 'yang', 'sangat', 'indah', 'nyaman', 'untuk', 'kunjungi', 'bersama', 'teman', 'keluarga', 'tercinta', 'banyak', 'sport', 'untuk', 'berfotofoto', 'wahana', 'permainan', 'yang', 'tentunya', 'seru', 'untuk', 'dimainkan', 'sini', 'juga', 'banyak', 'rumah', 'kecil', 'yang', 'bisa', 'sewa']","['pantai', 'yang', 'sangat', 'indah', 'nyaman', 'untuk', 'kunjung', 'sama', 'teman', 'keluarga', 'cinta', 'banyak', 'sport', 'untuk', 'berfotofoto', 'wahana', 'main', 'yang', 'tentu', 'seru', 'untuk', 'main', 'sini', 'juga', 'banyak', 'rumah', 'kecil', 'yang', 'bisa', 'sewa']","['pantai', 'indah', 'nyaman', 'kunjung', 'teman', 'keluarga', 'cinta', 'sport', 'berfotofoto', 'wahana', 'main', 'seru', 'main', 'rumah', 'sewa']"
masuk kesini dikasih gratis sama penjaga pantainya baik banget namanya bang saipul haha makasih banyak yaa bang mana mau direpotin lagi penjaga pantainya hahaha disuruh nganterin ke tengah laut yang ada rumah apungnya itu mau aja ,1,"['masuk', 'kesini', 'dikasih', 'gratis', 'sama', 'penjaga', 'pantainya', 'baik', 'banget', 'namanya', 'bang', 'saipul', 'haha', 'makasih', 'banyak', 'yaa', 'bang', 'mana', 'mau', 'direpotin', 'lagi', 'penjaga', 'pantainya', 'hahaha', 'disuruh', 'nganterin', 'ke', 'tengah', 'laut', 'yang', 'ada', 'rumah', 'apungnya', 'itu', 'mau', 'aja']","['masuk', 'kesini', 'dikasih', 'gratis', 'sama', 'penjaga', 'pantainya', 'baik', 'banget', 'namanya', 'bang', 'saipul', 'haha', 'terima', 'kasih', 'banyak', 'bang', 'mana', 'direpotin', 'lagi', 'penjaga', 'pantainya', 'hahaha', 'disuruh', 'mengantarkan', 'tengah', 'laut', 'yang', 'rumah', 'apungnya', 'saja']","['masuk', 'kesini', 'kasih', 'gratis', 'sama', 'jaga', 'pantai', 'baik', 'banget', 'nama', 'bang', 'saipul', 'haha', 'terima', 'kasih', 'banyak', 'bang', 'mana', 'direpotin', 'lagi', 'jaga', 'pantai', 'hahaha', 'suruh', 'antar', 'tengah', 'laut', 'yang', 'rumah', 'apung', 'saja']","['masuk', 'kesini', 'kasih', 'gratis', 'jaga', 'pantai', 'banget', 'nama', 'bang', 'saipul', 'haha', 'terima', 'kasih', 'bang', 'direpotin', 'jaga', 'pantai', 'hahaha', 'suruh', 'laut', 'rumah', 'apung']"
pantainya bagus pasir putih ombak juga gak gede aksesnya paling dekat nyebrang dari pelabuhan tanjung ya gaes,1,"['pantainya', 'bagus', 'pasir', 'putih', 'ombak', 'juga', 'gak', 'gede', 'aksesnya', 'paling', 'dekat', 'nyebrang', 'dari', 'pelabuhan', 'tanjung', 'ya', 'gaes']","['pantainya', 'bagus', 'pasir', 'putih', 'ombak', 'juga', 'enggak', 'gede', 'aksesnya', 'paling', 'dekat', 'nyebrang', 'dari', 'pelabuhan', 'tanjung', 'gaes']","['pantai', 'bagus', 'pasir', 'putih', 'ombak', 'juga', 'enggak', 'gede', 'akses', 'paling', 'dekat', 'nyebrang', 'dari', 'labuh', 'tanjung', 'gaes']","['pantai', 'bagus', 'pasir', 'putih', 'ombak', 'gede', 'akses', 'nyebrang', 'labuh', 'tanjung', 'gaes']"
