ulasan,label,tokens,normalized,stem,token_finish
air terjun yang bagus tiket masuk murah sekitar  ribu per orang air terjunnya jernih dan langsung berseberangan dengan laut,1,"['air', 'terjun', 'yang', 'bagus', 'tiket', 'masuk', 'murah', 'sekitar', 'ribu', 'per', 'orang', 'air', 'terjunnya', 'jernih', 'dan', 'langsung', 'berseberangan', 'dengan', 'laut']","['terjun', 'yang', 'bagus', 'tiket', 'masuk', 'murah', 'sekitar', 'ribu', 'orang', 'terjunnya', 'jernih', 'langsung', 'berseberangan', 'dengan', 'laut']","['terjun', 'yang', 'bagus', 'tiket', 'masuk', 'murah', 'sekitar', 'ribu', 'orang', 'terjun', 'jernih', 'langsung', 'berangan', 'dengan', 'laut']","['terjun', 'bagus', 'tiket', 'masuk', 'murah', 'ribu', 'orang', 'terjun', 'jernih', 'langsung', 'berangan', 'laut']"
tempatnya bagus selain air terjun diatasnya jg ada rest area parkir rbmasuk rb hari biasa,1,"['tempatnya', 'bagus', 'selain', 'air', 'terjun', 'diatasnya', 'jg', 'ada', 'rest', 'area', 'parkir', 'rbmasuk', 'rb', 'hari', 'biasa']","['tempatnya', 'bagus', 'selain', 'terjun', 'diatasnya', 'juga', 'rest', 'area', 'parkir', 'rbmasuk', 'ribu', 'hari', 'biasa']","['tempat', 'bagus', 'selain', 'terjun', 'atas', 'juga', 'rest', 'area', 'parkir', 'rbmasuk', 'ribu', 'hari', 'biasa']","['bagus', 'terjun', 'rest', 'area', 'parkir', 'rbmasuk', 'ribu']"
bagus,1,['bagus'],['bagus'],['bagus'],['bagus']
mantap,1,['mantap'],['mantap'],['mantap'],['mantap']
pemandangan yg indah adem pula suasanyanya meskipun pinggir laut cuman air terjunya hanya ada ketika musim hujan,1,"['pemandangan', 'yg', 'indah', 'adem', 'pula', 'suasanyanya', 'meskipun', 'pinggir', 'laut', 'cuman', 'air', 'terjunya', 'hanya', 'ada', 'ketika', 'musim', 'hujan']","['pemandangan', 'yang', 'indah', 'adem', 'pula', 'suasanyanya', 'meskipun', 'pinggir', 'laut', 'cuman', 'terjunya', 'hanya', 'ketika', 'musim', 'hujan']","['pandang', 'yang', 'indah', 'adem', 'pula', 'suasanyanya', 'meski', 'pinggir', 'laut', 'cuman', 'terjunya', 'hanya', 'ketika', 'musim', 'hujan']","['pandang', 'indah', 'adem', 'suasanyanya', 'pinggir', 'laut', 'cuman', 'terjunya', 'musim', 'hujan']"
tempat wisata yg keren dan recomended bgt buat dikunjungi apalagi kuliner dan es degannya yg bner bisa buat kita move on dari mantan ,1,"['tempat', 'wisata', 'yg', 'keren', 'dan', 'recomended', 'bgt', 'buat', 'dikunjungi', 'apalagi', 'kuliner', 'dan', 'es', 'degannya', 'yg', 'bner', 'bisa', 'buat', 'kita', 'move', 'on', 'dari', 'mantan']","['tempat', 'wisata', 'yang', 'keren', 'recomended', 'banget', 'buat', 'dikunjungi', 'apalagi', 'kuliner', 'degannya', 'yang', 'benar', 'bisa', 'buat', 'kita', 'move', 'dari', 'mantan']","['tempat', 'wisata', 'yang', 'keren', 'recomended', 'banget', 'buat', 'kunjung', 'apalagi', 'kuliner', 'degan', 'yang', 'benar', 'bisa', 'buat', 'kita', 'move', 'dari', 'mantan']","['wisata', 'keren', 'recomended', 'banget', 'kunjung', 'kuliner', 'degan', 'move', 'mantan']"
ada restorannya harga murah rasa pas aja poin  hati ke lokasi air terjunnya jalan agak licin dusim hujan,0,"['ada', 'restorannya', 'harga', 'murah', 'rasa', 'pas', 'aja', 'poin', 'hati', 'ke', 'lokasi', 'air', 'terjunnya', 'jalan', 'agak', 'licin', 'dusim', 'hujan']","['restorannya', 'harga', 'murah', 'rasa', 'saja', 'poin', 'hati', 'lokasi', 'terjunnya', 'jalan', 'agak', 'licin', 'dusim', 'hujan']","['restoran', 'harga', 'murah', 'rasa', 'saja', 'poin', 'hati', 'lokasi', 'terjun', 'jalan', 'agak', 'licin', 'dusim', 'hujan']","['restoran', 'harga', 'murah', 'poin', 'hati', 'lokasi', 'terjun', 'jalan', 'licin', 'dusim', 'hujan']"
karena habis hujan jadi airnya keruh,0,"['karena', 'habis', 'hujan', 'jadi', 'airnya', 'keruh']","['karena', 'habis', 'hujan', 'jadi', 'airnya', 'keruh']","['karena', 'habis', 'hujan', 'jadi', 'air', 'keruh']","['habis', 'hujan', 'air', 'keruh']"
terpantau masih seperti dulu  ,0,"['terpantau', 'masih', 'seperti', 'dulu']","['terpantau', 'masih', 'seperti', 'dulu']","['pantau', 'masih', 'seperti', 'dulu']",['pantau']
pemandangan eksotis pinggir laut,1,"['pemandangan', 'eksotis', 'pinggir', 'laut']","['pemandangan', 'eksotis', 'pinggir', 'laut']","['pandang', 'eksotis', 'pinggir', 'laut']","['pandang', 'eksotis', 'pinggir', 'laut']"
