ulasan,label,tokens,normalized,stem,token_finish
semacam tebing kapur bekas galian tambang jalan kesana lumayan tidak bagus serasa off road cuacanya panasss banget jangan lupa pakai sunscreen dan sunglasses ,0,"['semacam', 'tebing', 'kapur', 'bekas', 'galian', 'tambang', 'jalan', 'kesana', 'lumayan', 'tidak', 'bagus', 'serasa', 'off', 'road', 'cuacanya', 'panasss', 'banget', 'jangan', 'lupa', 'pakai', 'sunscreen', 'dan', 'sunglasses']","['semacam', 'tebing', 'kapur', 'bekas', 'galian', 'tambang', 'jalan', 'kesana', 'lumayan', 'tidak', 'bagus', 'serasa', 'road', 'cuacanya', 'panasss', 'banget', 'jangan', 'lupa', 'pakai', 'sunscreen', 'sunglasses']","['macam', 'tebing', 'kapur', 'bekas', 'gali', 'tambang', 'jalan', 'kesana', 'lumayan', 'tidak', 'bagus', 'serasa', 'road', 'cuaca', 'panasss', 'banget', 'jangan', 'lupa', 'pakai', 'sunscreen', 'sunglasses']","['tebing', 'kapur', 'bekas', 'gali', 'tambang', 'jalan', 'kesana', 'lumayan', 'bagus', 'serasa', 'road', 'cuaca', 'panasss', 'banget', 'lupa', 'pakai', 'sunscreen', 'sunglasses']"
asli bagus banget ga tau suka aja tempat yang alam banget kaya gini sayangnya akses jalannya yang minta ampun jelek banget belum aspal juga pas masuknya jadi berdebu banget terus harus bayar tiket x buat masuk mobil bayar k,1,"['asli', 'bagus', 'banget', 'ga', 'tau', 'suka', 'aja', 'tempat', 'yang', 'alam', 'banget', 'kaya', 'gini', 'sayangnya', 'akses', 'jalannya', 'yang', 'minta', 'ampun', 'jelek', 'banget', 'belum', 'aspal', 'juga', 'pas', 'masuknya', 'jadi', 'berdebu', 'banget', 'terus', 'harus', 'bayar', 'tiket', 'x', 'buat', 'masuk', 'mobil', 'bayar', 'k']","['asli', 'bagus', 'banget', 'enggak', 'suka', 'saja', 'tempat', 'yang', 'alam', 'banget', 'kayak', 'begini', 'sayangnya', 'akses', 'jalannya', 'yang', 'meminta', 'ampun', 'jelek', 'banget', 'belum', 'aspal', 'juga', 'masuknya', 'jadi', 'berdebu', 'banget', 'terus', 'harus', 'bayar', 'tiket', 'kali', 'buat', 'masuk', 'mobil', 'bayar']","['asli', 'bagus', 'banget', 'enggak', 'suka', 'saja', 'tempat', 'yang', 'alam', 'banget', 'kayak', 'begini', 'sayang', 'akses', 'jalan', 'yang', 'minta', 'ampun', 'jelek', 'banget', 'belum', 'aspal', 'juga', 'masuk', 'jadi', 'debu', 'banget', 'terus', 'harus', 'bayar', 'tiket', 'kali', 'buat', 'masuk', 'mobil', 'bayar']","['asli', 'bagus', 'banget', 'suka', 'alam', 'banget', 'kayak', 'sayang', 'akses', 'jalan', 'ampun', 'jelek', 'banget', 'aspal', 'masuk', 'debu', 'banget', 'bayar', 'tiket', 'kali', 'masuk', 'mobil', 'bayar']"
jadi salah satu alternatif wisata di pulau madura bukit jaddih merupakan tempat bekas galian tambang batu kapur yang sampai saat ini masih beroperasi dibagian lain sdh berubah fungsi menjadi tempat wisata akses kesini lumayan sulit ,0,"['jadi', 'salah', 'satu', 'alternatif', 'wisata', 'di', 'pulau', 'madura', 'bukit', 'jaddih', 'merupakan', 'tempat', 'bekas', 'galian', 'tambang', 'batu', 'kapur', 'yang', 'sampai', 'saat', 'ini', 'masih', 'beroperasi', 'dibagian', 'lain', 'sdh', 'berubah', 'fungsi', 'menjadi', 'tempat', 'wisata', 'akses', 'kesini', 'lumayan', 'sulit']","['jadi', 'salah', 'satu', 'alternatif', 'wisata', 'pulau', 'madura', 'bukit', 'jaddih', 'merupakan', 'tempat', 'bekas', 'galian', 'tambang', 'batu', 'kapur', 'yang', 'sampai', 'saat', 'masih', 'beroperasi', 'dibagian', 'lain', 'sudah', 'berubah', 'fungsi', 'menjadi', 'tempat', 'wisata', 'akses', 'kesini', 'lumayan', 'sulit']","['jadi', 'salah', 'satu', 'alternatif', 'wisata', 'pulau', 'madura', 'bukit', 'jaddih', 'rupa', 'tempat', 'bekas', 'gali', 'tambang', 'batu', 'kapur', 'yang', 'sampai', 'saat', 'masih', 'operasi', 'bagi', 'lain', 'sudah', 'ubah', 'fungsi', 'jadi', 'tempat', 'wisata', 'akses', 'kesini', 'lumayan', 'sulit']","['salah', 'alternatif', 'wisata', 'pulau', 'madura', 'bukit', 'jaddih', 'rupa', 'bekas', 'gali', 'tambang', 'batu', 'kapur', 'operasi', 'ubah', 'fungsi', 'wisata', 'akses', 'kesini', 'lumayan', 'sulit']"
kemarin ke bukit jaddhih karena kebetulan mau jalan ke jembatan suramadu pertama lihat foto dan ulasan di maps sempat buat kurang yakin ke bukit jaddihih tetapi pada saat ke sana sangatlah diluar eksepetasi,1,"['kemarin', 'ke', 'bukit', 'jaddhih', 'karena', 'kebetulan', 'mau', 'jalan', 'ke', 'jembatan', 'suramadu', 'pertama', 'lihat', 'foto', 'dan', 'ulasan', 'di', 'maps', 'sempat', 'buat', 'kurang', 'yakin', 'ke', 'bukit', 'jaddihih', 'tetapi', 'pada', 'saat', 'ke', 'sana', 'sangatlah', 'diluar', 'eksepetasi']","['kemarin', 'bukit', 'jaddhih', 'karena', 'kebetulan', 'jalan', 'jembatan', 'suramadu', 'pertama', 'lihat', 'foto', 'ulasan', 'maps', 'sempat', 'buat', 'kurang', 'yakin', 'bukit', 'jaddihih', 'tetapi', 'pada', 'saat', 'sana', 'sangatlah', 'diluar', 'eksepetasi']","['kemarin', 'bukit', 'jaddhih', 'karena', 'betul', 'jalan', 'jembatan', 'suramadu', 'pertama', 'lihat', 'foto', 'ulas', 'maps', 'sempat', 'buat', 'kurang', 'yakin', 'bukit', 'jaddihih', 'tetapi', 'pada', 'saat', 'sana', 'sangat', 'luar', 'eksepetasi']","['kemarin', 'bukit', 'jaddhih', 'jalan', 'jembatan', 'suramadu', 'lihat', 'foto', 'ulas', 'maps', 'bukit', 'jaddihih', 'eksepetasi']"
biaya masuk mobil rb semoga next ada papan petunjuk jalan ke wisata soalnya kalo pake maps diputerin  jalan kesana lebih baik krn mobil kecil uda berusaha menghindar tetep gasruk alhasil cat mobil di bemper depan ngelupas,0,"['biaya', 'masuk', 'mobil', 'rb', 'semoga', 'next', 'ada', 'papan', 'petunjuk', 'jalan', 'ke', 'wisata', 'soalnya', 'kalo', 'pake', 'maps', 'diputerin', 'jalan', 'kesana', 'lebih', 'baik', 'krn', 'mobil', 'kecil', 'uda', 'berusaha', 'menghindar', 'tetep', 'gasruk', 'alhasil', 'cat', 'mobil', 'di', 'bemper', 'depan', 'ngelupas']","['biaya', 'masuk', 'mobil', 'ribu', 'semoga', 'next', 'papan', 'petunjuk', 'jalan', 'wisata', 'soalnya', 'kalo', 'pakai', 'maps', 'diputerin', 'jalan', 'kesana', 'lebih', 'baik', 'karena', 'mobil', 'kecil', 'sudah', 'berusaha', 'menghindar', 'tetap', 'gasruk', 'alhasil', 'mobil', 'bemper', 'depan', 'ngelupas']","['biaya', 'masuk', 'mobil', 'ribu', 'moga', 'next', 'papan', 'tunjuk', 'jalan', 'wisata', 'soal', 'kalo', 'pakai', 'maps', 'diputerin', 'jalan', 'kesana', 'lebih', 'baik', 'karena', 'mobil', 'kecil', 'sudah', 'usaha', 'hindar', 'tetap', 'gasruk', 'alhasil', 'mobil', 'bemper', 'depan', 'ngelupas']","['biaya', 'masuk', 'mobil', 'ribu', 'moga', 'next', 'papan', 'jalan', 'wisata', 'pakai', 'maps', 'diputerin', 'jalan', 'kesana', 'mobil', 'usaha', 'hindar', 'gasruk', 'alhasil', 'mobil', 'bemper', 'ngelupas']"
masuk uang yg punya jalan tambang rb masuk ke parkir rb per org view bagus bngt tambang batu kapur aktif,1,"['masuk', 'uang', 'yg', 'punya', 'jalan', 'tambang', 'rb', 'masuk', 'ke', 'parkir', 'rb', 'per', 'org', 'view', 'bagus', 'bngt', 'tambang', 'batu', 'kapur', 'aktif']","['masuk', 'uang', 'yang', 'punya', 'jalan', 'tambang', 'ribu', 'masuk', 'parkir', 'ribu', 'orang', 'view', 'bagus', 'banget', 'tambang', 'batu', 'kapur', 'aktif']","['masuk', 'uang', 'yang', 'punya', 'jalan', 'tambang', 'ribu', 'masuk', 'parkir', 'ribu', 'orang', 'view', 'bagus', 'banget', 'tambang', 'batu', 'kapur', 'aktif']","['masuk', 'uang', 'jalan', 'tambang', 'ribu', 'masuk', 'parkir', 'ribu', 'orang', 'view', 'bagus', 'banget', 'tambang', 'batu', 'kapur', 'aktif']"
pertama kali kesini pakai google map kalau dari jembatan suramadu nanti arahnya perempatan terus ke kiri nanti jalannya agak kecil sih kalau naik mobil papasan agak mepet jalannya juga belum terlalu baik masih berlubang parkir masuk ,0,"['pertama', 'kali', 'kesini', 'pakai', 'google', 'map', 'kalau', 'dari', 'jembatan', 'suramadu', 'nanti', 'arahnya', 'perempatan', 'terus', 'ke', 'kiri', 'nanti', 'jalannya', 'agak', 'kecil', 'sih', 'kalau', 'naik', 'mobil', 'papasan', 'agak', 'mepet', 'jalannya', 'juga', 'belum', 'terlalu', 'baik', 'masih', 'berlubang', 'parkir', 'masuk']","['pertama', 'kali', 'kesini', 'pakai', 'google', 'kalau', 'dari', 'jembatan', 'suramadu', 'nanti', 'arahnya', 'perempatan', 'terus', 'kiri', 'nanti', 'jalannya', 'agak', 'kecil', 'kalau', 'naik', 'mobil', 'papasan', 'agak', 'mepet', 'jalannya', 'juga', 'belum', 'terlalu', 'baik', 'masih', 'berlubang', 'parkir', 'masuk']","['pertama', 'kali', 'kesini', 'pakai', 'google', 'kalau', 'dari', 'jembatan', 'suramadu', 'nanti', 'arah', 'empat', 'terus', 'kiri', 'nanti', 'jalan', 'agak', 'kecil', 'kalau', 'naik', 'mobil', 'papas', 'agak', 'mepet', 'jalan', 'juga', 'belum', 'terlalu', 'baik', 'masih', 'lubang', 'parkir', 'masuk']","['kali', 'kesini', 'pakai', 'google', 'jembatan', 'suramadu', 'arah', 'kiri', 'jalan', 'mobil', 'papas', 'mepet', 'jalan', 'lubang', 'parkir', 'masuk']"
salah satu wisata di madura yg wajib bgt dikunjungi nanti kalian bakal disuguhi dgn pemandangan batu kapur yg cantikkk bgt warna putih gini ada danaunya jg loh cakep bgt klo buat foto tapi medan utk kesini agak jelek karena banyak bebatuan jalannya yg mau liburan ke madura coba kesini deh guys ,1,"['salah', 'satu', 'wisata', 'di', 'madura', 'yg', 'wajib', 'bgt', 'dikunjungi', 'nanti', 'kalian', 'bakal', 'disuguhi', 'dgn', 'pemandangan', 'batu', 'kapur', 'yg', 'cantikkk', 'bgt', 'warna', 'putih', 'gini', 'ada', 'danaunya', 'jg', 'loh', 'cakep', 'bgt', 'klo', 'buat', 'foto', 'tapi', 'medan', 'utk', 'kesini', 'agak', 'jelek', 'karena', 'banyak', 'bebatuan', 'jalannya', 'yg', 'mau', 'liburan', 'ke', 'madura', 'coba', 'kesini', 'deh', 'guys']","['salah', 'satu', 'wisata', 'madura', 'yang', 'wajib', 'banget', 'dikunjungi', 'nanti', 'kalian', 'bakal', 'disuguhi', 'dengan', 'pemandangan', 'batu', 'kapur', 'yang', 'cantik', 'banget', 'warna', 'putih', 'begini', 'danaunya', 'juga', 'cakep', 'banget', 'kalo', 'buat', 'foto', 'tapi', 'medan', 'untuk', 'kesini', 'agak', 'jelek', 'karena', 'banyak', 'bebatuan', 'jalannya', 'yang', 'liburan', 'madura', 'coba', 'kesini', 'guys']","['salah', 'satu', 'wisata', 'madura', 'yang', 'wajib', 'banget', 'kunjung', 'nanti', 'kalian', 'bakal', 'suguh', 'dengan', 'pandang', 'batu', 'kapur', 'yang', 'cantik', 'banget', 'warna', 'putih', 'begini', 'danau', 'juga', 'cakep', 'banget', 'kalo', 'buat', 'foto', 'tapi', 'medan', 'untuk', 'kesini', 'agak', 'jelek', 'karena', 'banyak', 'bebatuan', 'jalan', 'yang', 'libur', 'madura', 'coba', 'kesini', 'guys']","['salah', 'wisata', 'madura', 'wajib', 'banget', 'kunjung', 'suguh', 'pandang', 'batu', 'kapur', 'cantik', 'banget', 'warna', 'putih', 'danau', 'cakep', 'banget', 'foto', 'medan', 'kesini', 'jelek', 'bebatuan', 'jalan', 'libur', 'madura', 'coba', 'kesini', 'guys']"
minggu kemarin ngantar anakanak wisata wisata ini diadakan oleh tpq al firdaus tempat anak pertama belajar tahfidz ,1,"['minggu', 'kemarin', 'ngantar', 'anakanak', 'wisata', 'wisata', 'ini', 'diadakan', 'oleh', 'tpq', 'al', 'firdaus', 'tempat', 'anak', 'pertama', 'belajar', 'tahfidz']","['minggu', 'kemarin', 'mengantar', 'anakanak', 'wisata', 'wisata', 'diadakan', 'oleh', 'firdaus', 'tempat', 'anak', 'pertama', 'belajar', 'tahfidz']","['minggu', 'kemarin', 'antar', 'anakanak', 'wisata', 'wisata', 'ada', 'oleh', 'firdaus', 'tempat', 'anak', 'pertama', 'ajar', 'tahfidz']","['minggu', 'kemarin', 'anakanak', 'wisata', 'wisata', 'firdaus', 'anak', 'ajar', 'tahfidz']"
tebing buatan yg sangat menakjubkanrecomend banget untuk dikunjungiakses sangat mudah sekitar  menit dari jembatan suramadu,1,"['tebing', 'buatan', 'yg', 'sangat', 'menakjubkanrecomend', 'banget', 'untuk', 'dikunjungiakses', 'sangat', 'mudah', 'sekitar', 'menit', 'dari', 'jembatan', 'suramadu']","['tebing', 'buatan', 'yang', 'sangat', 'menakjubkanrecomend', 'banget', 'untuk', 'dikunjungiakses', 'sangat', 'mudah', 'sekitar', 'menit', 'dari', 'jembatan', 'suramadu']","['tebing', 'buat', 'yang', 'sangat', 'menakjubkanrecomend', 'banget', 'untuk', 'dikunjungiakses', 'sangat', 'mudah', 'sekitar', 'menit', 'dari', 'jembatan', 'suramadu']","['tebing', 'menakjubkanrecomend', 'banget', 'dikunjungiakses', 'mudah', 'menit', 'jembatan', 'suramadu']"
