,lokasi,ulasan,label
0,Bukit Jaddhih,"['Semacam', 'tebing', 'kapur', 'bekas', 'galian', 'tambang', '.', 'Jalan', 'kesana', 'lumayan', 'bagus', ',', 'serasa', 'off', 'road', '.', 'Cuacanya', 'panasss', 'banget', '.', 'Jangan', 'lupa', 'pakai', 'sunscreen', 'sunglasses', '.', '…']",0
1,Bukit Jaddhih,"['Asli', 'bagus', 'banget', ',', 'tau', 'suka', 'alam', 'banget', 'kayak', '.', 'Sayangnya', 'akses', 'jalannya', 'ampun', 'jelek', 'banget', '.', 'Belum', 'aspal', 'masuknya', '.', 'Jadi', 'berdebu', 'banget', '.', 'Terus', 'bayar', 'tiket', '2x', ',', 'masuk', 'mobil', 'bayar', '20k', '.']",1
2,Bukit Jaddhih,"['Jadi', 'salah', 'alternatif', 'wisata', 'pulau', 'Madura', '.', 'Bukit', 'Jaddih', 'bekas', 'galian', 'tambang', 'batu', 'kapur', 'beroperasi', '.', 'Dibagian', 'berubah', 'fungsi', 'wisata', '.', 'Akses', 'kesini', 'lumayan', 'sulit', '…']",0
3,Bukit Jaddhih,"['Kemarin', 'bukit', 'jaddhih', 'jalan', '’', 'jembatan', 'Suramadu', '.', 'Pertama', 'lihat', 'foto', '’', 'ulasan', 'maps', 'bukit', 'jaddihih', ',', 'diluar', 'eksepetasi', '.']",1
4,Bukit Jaddhih,"['Biaya', 'masuk', 'mobil', '5rb', ',', 'semoga', 'next', 'papan', 'petunjuk', 'jalan', 'wisata', '(', 'pakai', 'maps', 'diputer2in', ')', '&', 'jalan', 'kesana', '.', 'Krn', 'mobil', 'berusaha', 'menghindar', 'gasruk', ',', 'alhasil', 'cat', 'mobil', 'bemper', 'ngelupas']",0
5,Bukit Jaddhih,"['Masuk', 'uang', 'jalan', 'tambang', '20rb', ',', 'masuk', 'parkir', '5rb', 'orang', '.', 'View', 'bagus', 'banget', ',', 'tambang', 'batu', 'kapur', 'aktif', '.']",1
6,Bukit Jaddhih,"['Pertama', 'kali', 'kesini', ',', 'pakai', 'google', 'map', '.', 'Kalau', 'jembatan', 'suramadu', 'arahnya', 'perempatan', 'kiri', '.', 'Nanti', 'jalannya', 'sih', 'mobil', 'papasan', 'mepet', ',', 'jalannya', 'berlubang', '.', 'Parkir', 'masuk', '…']",0
7,Bukit Jaddhih,"['salah', 'wisata', 'madura', 'wajib', 'banget', 'dikunjungi', '.', 'disuguhi', 'pemandangan', 'batu', 'kapur', 'cantik', 'banget', 'warna', 'putih', ',', 'danaunya', ',', 'cakep', 'banget', 'foto-foto', '.', 'medan', 'kesini', 'jelek', 'bebatuan', 'jalannya', '.', 'liburan', 'madura', ',', 'coba', 'kesini', 'deh', 'guys🤍', '…']",1
8,Bukit Jaddhih,"['Minggu', 'kemarin', 'mengantar', 'anak-anak', 'wisata', '...', 'Wisata', 'diadakan', 'TPQ', 'Al', 'Firdaus', 'anak', 'belajar', 'Tahfidz', '...', '…']",1
9,Bukit Jaddhih,"['Tebing²', 'buatan', 'menakjubkan', ',', 'recomend', 'banget', 'dikunjungi.akses', 'mudah', '40', 'menit', 'Jembatan', 'Suramadu', '.']",1
10,Bukit Jaddhih,"['Tempatnya', 'bagus', 'wisata', 'keluarga', '.', 'Selalu', 'masker', 'berdebu']",1
11,Bukit Jaddhih,"['Fasilotas', 'minim', ',', 'pegembangan', 'sentuhan', 'artistik', 'menarik', 'wisatawan']",0
12,Bukit Jaddhih,"['Wisata', 'lokal', 'indah', ',', 'pemanfaatan', 'tambang', 'batu', 'kapur', 'wisata', '..', 'Ada', 'goa', 'buatan', '..', 'Bisa', 'lihat', 'sunset', 'puncak', 'tebing']",1
13,Bukit Jaddhih,"['Tempatnya', 'luas', ',', 'cocok', 'foto-foto', ',', 'lumayan', 'turun', 'jalannya', ',', 'disarankan', 'kesini', 'sepatu', ',', 'musim', 'hujan', 'ditakutkan', 'licin']",1
14,Bukit Jaddhih,"['Kesini', 'video', 'klip', ',', 'puasa', ',', 'mendung', 'hujan', 'sebentar', '.', 'Waktu', 'menyertai', 'diantar', 'spot-spot', 'terbaik', 'jarang', 'dipakai', 'orang', 'spot', 'photo', 'video', '.', '…']",1
