,hasilpreproses
0,"Semacam tebing kapur bekas galian tambang . Jalan kesana lumayan bagus , serasa off road . Cuacanya panasss banget . Jangan lupa pakai sunscreen sunglasses . …"
1,"Asli bagus banget , tau suka alam banget kayak . Sayangnya akses jalannya ampun jelek banget . Belum aspal masuknya . Jadi berdebu banget . Terus bayar tiket 2x , masuk mobil bayar 20k ."
2,Jadi salah alternatif wisata pulau Madura . Bukit Jaddih bekas galian tambang batu kapur beroperasi . Dibagian berubah fungsi wisata . Akses kesini lumayan sulit …
3,"Kemarin bukit jaddhih jalan ’ jembatan Suramadu . Pertama lihat foto ’ ulasan maps bukit jaddihih , diluar eksepetasi ."
4,"Biaya masuk mobil 5rb , semoga next papan petunjuk jalan wisata ( pakai maps diputer2in ) & jalan kesana . Krn mobil berusaha menghindar gasruk , alhasil cat mobil bemper ngelupas"
5,"Masuk uang jalan tambang 20rb , masuk parkir 5rb orang . View bagus banget , tambang batu kapur aktif ."
6,"Pertama kali kesini , pakai google map . Kalau jembatan suramadu arahnya perempatan kiri . Nanti jalannya sih mobil papasan mepet , jalannya berlubang . Parkir masuk …"
7,"salah wisata madura wajib banget dikunjungi . disuguhi pemandangan batu kapur cantik banget warna putih , danaunya , cakep banget foto-foto . medan kesini jelek bebatuan jalannya . liburan madura , coba kesini deh guys🤍 …"
8,Minggu kemarin mengantar anak-anak wisata ... Wisata diadakan TPQ Al Firdaus anak belajar Tahfidz ... …
9,"Tebing² buatan menakjubkan , recomend banget dikunjungi.akses mudah 40 menit Jembatan Suramadu ."
10,Tempatnya bagus wisata keluarga . Selalu masker berdebu
11,"Fasilotas minim , pegembangan sentuhan artistik menarik wisatawan"
12,"Wisata lokal indah , pemanfaatan tambang batu kapur wisata .. Ada goa buatan .. Bisa lihat sunset puncak tebing"
13,"Tempatnya luas , cocok foto-foto , lumayan turun jalannya , disarankan kesini sepatu , musim hujan ditakutkan licin"
14,"Kesini video klip , puasa , mendung hujan sebentar . Waktu menyertai diantar spot-spot terbaik jarang dipakai orang spot photo video . …"
15,Menurut bagus jalan-jalan . Cuman kitq penarik karcis . Kita mobil dicgat orang bawa karcis suruh bayar
16,"Banyak spot foto keren & bagus , disarankan pagi/sore , siang panasnya ampun ..."
17,Bagus cuaca mendukung jam 8 9 matahari diatas suhu panas terik menaikkan pesona alamnya
18,"Pengalaman wisata alam menyenangkan , kondisi lumayan sepi berkunjung jumat . Kurang penunjuk arah . Semoga kedepannya pengelolaan"
19,"Dateng weekend , survey . Bareng truk truk tambang jalannya rusak . Dibantu warga lokal mencari jalan mendingan . Sampe lokasi airnya surut ujan . Gersang banget bawa masker . Debu dimana"
20,"Goa pote , bangkalan Msh sebelahnya bukit jaddih . Mungkin goa putih , bekas galian kapur , putih ."
21,"Tempatnya bagus , sayang kesana musim kemarau jalanan berdebu galian tambang kapur"
22,"viewnya bagus , bekas area tambang spot foto-foto"
23,"Bekas tambang kapur banhkalan madura . Sangat aesthetic lokasi foto video . Tiket masuk murah 5rb orang . Ada tour guide , anak muda .. jago take foto video . …"
24,Wisata gunung kapur indah ... musim kemarau panas banget
25,"Bagus foto² rekomendasi kesini pagi sore , tutup jam 17.30"
